,Unnamed: 0,거주유형,거래방식,거주유형.1,시세,스펙,위치,lat,lon
1,1,일반원룸 엘하우스,월세,원룸,"1,000/65","39/30m², 4/5층, 남서향",한강로1가,37.5362,126.973488
2,2,일반원룸,월세,원룸,"1,000/50","28/19m², 4/5층, 남서향",한강로1가,37.5362,126.973488
3,3,용산파크자이 D동,월세,오피스텔,"1,000/115","73C/37m², 고/36층, 남향",한강로1가,37.5362,126.973488
4,4,일반원룸 하나오피스,월세,원룸,"1,000/65","30/30m², 저/6층, 북동향",한강로1가,37.5362,126.973488
5,5,일반원룸,월세,원룸,"1,000/60","35/26m², 2/7층, 동향",한강로1가,37.5362,126.973488
6,6,일반원룸,월세,원룸,"1,000/60","28/28m², 2/4층, 서향",한강로1가,37.5362,126.973488
7,7,일반원룸,월세,원룸,500/40,"28/28m², B1/4층, 북서향",한강로1가,37.5362,126.973488
8,8,용산파크자이 D동,월세,오피스텔,"1,000/90","66N/33m², 저/36층, 남동향",한강로1가,37.5362,126.973488
9,9,용산파크자이 D동,월세,오피스텔,"1,000/90","66N/33m², 저/36층, 동향",한강로1가,37.5362,126.973488
10,10,용산파크자이 D동,월세,오피스텔,"1,000/90","66N/33m², 중/36층, 동향",한강로1가,37.5362,126.973488
11,11,용산파크자이 D동,월세,오피스텔,"1,000/115","85R/42m², 저/36층, 서향",한강로1가,37.5362,126.973488
12,12,기타,월세,원룸,"1,000/60","33/25m², 고/5층, 서향",한강로1가,37.5362,126.973488
13,13,용산파크자이 D동,월세,오피스텔,"1,000/120","73C/37m², 중/36층, 서향",한강로1가,37.5362,126.973488
14,14,용산파크자이 D동,월세,오피스텔,"2,000/110","73C/37m², 중/36층, 남서향",한강로1가,37.5362,126.973488
15,15,용산파크자이 D동,월세,오피스텔,"1,000/80","56S/28m², 저/36층, 서향",한강로1가,37.5362,126.973488
16,16,용산파크자이 D동,월세,오피스텔,"1,000/100","73C/37m², 고/36층, 남향",한강로1가,37.5362,126.973488
17,17,용산파크자이 D동,월세,오피스텔,"1,000/80","56S/28m², 저/36층, 서향",한강로1가,37.5362,126.973488
18,18,용산파크자이 D동,월세,오피스텔,"1,000/100","73C/37m², 고/36층, 남향",한강로1가,37.5362,126.973488
19,19,일반원룸 하나오피스,월세,원룸,"5,000/50","23/23m², 5/6층, 남서향",한강로1가,37.5362,126.973488
0,0,용산큐브스테이트 1동,월세,오피스텔,"5,000/70","28A/18m², 2/11층, 서향",청파동1가,37.5488,126.9674
1,1,용산큐브스테이트 1동,월세,오피스텔,"3,000/90","28B/20m², 9/11층, 남향",청파동1가,37.5488,126.9674
2,2,용산큐브스테이트 1동,월세,오피스텔,"5,000/70","28A/18m², 2/11층, 서향",청파동1가,37.5488,126.9674
3,3,용산큐브스테이트 1동,월세,오피스텔,"3,000/100","28B/20m², 8/11층, 남향",청파동1가,37.5488,126.9674
4,4,용산큐브스테이트 1동,월세,오피스텔,2억/45,"28B/20m², 중/11층, 남향",청파동1가,37.5488,126.9674
5,5,빌라,월세,빌라,"8,000/20","33/29m², 1/3층, 남서향",청파동1가,37.5488,126.9674
6,6,용산큐브스테이트 1동,월세,오피스텔,"2,000/95","28B/20m², 2/11층, 남향",청파동1가,37.5488,126.9674
7,7,빌라,월세,빌라,"1억 8,000/10","37/23m², 중/4층, 북향",청파동1가,37.5488,126.9674
8,8,일반원룸,월세,원룸,500/50,"25/25m², 3/4층, 남향",청파동1가,37.5488,126.9674
9,9,용산큐브스테이트 1동,월세,오피스텔,2억/45,"28B/20m², 중/11층, 남향",청파동1가,37.5488,126.9674
10,10,용산큐브스테이트 1동,월세,오피스텔,1억/65,"28A/18m², 고/11층, 동향",청파동1가,37.5488,126.9674
11,11,일반원룸,월세,원룸,300/20,"19/19m², B1/3층, 남향",청파동1가,37.5488,126.9674
12,12,일반원룸,월세,원룸,"3,000/35","22/22m², 4/4층, 남향",청파동1가,37.5488,126.9674
13,13,용산큐브스테이트 1동,월세,오피스텔,"3,000/100","28C/19m², 고/11층, 남향",청파동1가,37.5488,126.9674
14,14,용산큐브스테이트 1동,월세,오피스텔,"3,000/90","28C/19m², 저/11층, 남향",청파동1가,37.5488,126.9674
15,15,일반원룸,월세,원룸,500/45,"17/17m², 1/5층, 북서향",청파동1가,37.5488,126.9674
16,16,빌라,월세,빌라,500/35,"32/21m², 3/3층, 동향",청파동1가,37.5488,126.9674
17,17,단독,월세,단독/다가구,300/16,"20/20m², 3/3층, 남향",청파동1가,37.5488,126.9674
18,18,용산큐브스테이트 1동,월세,오피스텔,1억/70,"28A/18m², 고/11층, 남동향",청파동1가,37.5488,126.9674
19,19,용산큐브스테이트 1동,월세,오피스텔,1억/70,"28A/18m², 9/11층, 동향",청파동1가,37.5488,126.9674
0,0,일반원룸,월세,원룸,"1,000/40","21/16m², 3/3층, 서향",청파동3가,37.5432,126.9668
1,1,일반원룸,월세,원룸,"1,000/30","44/15m², B1/4층, 서향",청파동3가,37.5432,126.9668
2,2,일반원룸,월세,원룸,"2,000/45","15/15m², 2/3층, 남향",청파동3가,37.5432,126.9668
3,3,다가구,월세,단독/다가구,"1,000/32","16/15m², B1/4층, 서향",청파동3가,37.5432,126.9668
4,4,일반원룸,월세,원룸,"1,000/55","34/34m², 저/3층, 동향",청파동3가,37.5432,126.9668
5,5,다가구,월세,단독/다가구,"2,000/40","16/16m², 3/4층, 남향",청파동3가,37.5432,126.9668
6,6,일반원룸,월세,원룸,500/55,"28/24m², 중/5층, 남향",청파동3가,37.5432,126.9668
7,7,일반원룸,월세,원룸,"1,000/55","34/34m², 저/4층, 남향",청파동3가,37.5432,126.9668
8,8,빌라,월세,빌라,"1,000/55","34/34m², 1/3층, 동향",청파동3가,37.5432,126.9668
9,9,일반원룸,월세,원룸,"4,000/25","16/16m², 1/1층, 남동향",청파동3가,37.5432,126.9668
0,0,용산큐브 1동,월세,오피스텔,"1,000/70","29/17m², 고/13층, 북동향",문배동,37.537,126.969088
1,1,용산아크로타워 101동,월세,오피스텔,1억/130,"99E/47m², 저/9층, 북서향",문배동,37.537,126.969088
2,2,용산리브 1동,월세,오피스텔,"8,000/85","87B/42m², 중/13층, 남서향",문배동,37.537,126.969088
3,3,용산KCC웰츠타워 1동,월세,오피스텔,"1,000/90","69J1/29m², 고/8층, 남서향",문배동,37.537,126.969088
4,4,프라임팰리스(도시형) 1동,월세,아파트,"2,000/75","40A/21m², 16/20층, 서향",문배동,37.537,126.969088
5,5,용산큐브(도시형) 1동,월세,아파트,"1,000/70","20/13m², 고/20층, 남향",문배동,37.537,126.969088
6,6,용산이안1차 102동,월세,오피스텔,"1억 5,000/40","79A/39m², 저/12층, 북동향",문배동,37.537,126.969088
7,7,용산큐브 1동,월세,오피스텔,"1,000/70","29/17m², 고/13층, 남향",문배동,37.537,126.969088
8,8,용산이안1차 102동,월세,오피스텔,"3,000/67","61A/30m², 중/12층, 북동향",문배동,37.537,126.969088
9,9,용산KCC웰츠타워 1동,월세,오피스텔,"1,000/95","69L2/29m², 고/8층, 동향",문배동,37.537,126.969088
10,10,프라임팰리스(도시형) 1동,월세,아파트,1억/30,"26B/13m², 14/20층, 북서향",문배동,37.537,126.969088
11,11,용산이안1차 103동,월세,오피스텔,"1,000/75","62B/30m², 저/15층, 북동향",문배동,37.537,126.969088
12,12,용산이안1차 103동,월세,오피스텔,"1,000/75","62B/30m², 저/15층, 북동향",문배동,37.537,126.969088
13,13,용산이안1차 103동,월세,오피스텔,"1,000/75","62B/30m², 저/15층, 동향",문배동,37.537,126.969088
14,14,용산KCC웰츠타워 1동,월세,오피스텔,"1,000/90","69J1/29m², 고/8층, 남서향",문배동,37.537,126.969088
15,15,용산큐브 1동,월세,오피스텔,"1,000/70","29/17m², 고/13층, 북서향",문배동,37.537,126.969088
