,단지명,거주형태,상세주소,면적,평명,기준날짜,보증금,월세,위도,경도
88,신영지웰시티1차,오피스텔,3379,85.02,85A-3,0,0,0,37.536827322155126,126.9727933400022
89,신영지웰시티1차,오피스텔,3379,99.1,99C-3,20220325,1000,70,37.536827322155126,126.9727933400022
90,신영지웰시티1차,오피스텔,3379,100.87,100B,0,0,0,37.536827322155126,126.9727933400022
91,신영지웰시티1차,오피스텔,3379,119.12,119C-4,20220325,1000,85,37.536827322155126,126.9727933400022
92,신영지웰시티1차,오피스텔,3379,124.94,124oA,0,0,0,37.536827322155126,126.9727933400022
93,신영지웰시티1차,오피스텔,3379,126.13,126oB,0,0,0,37.536827322155126,126.9727933400022
94,신영지웰시티1차,오피스텔,3379,128.58,128oC,0,0,0,37.536827322155126,126.9727933400022
95,신영지웰시티1차,오피스텔,3379,144.07,144oD,0,0,0,37.536827322155126,126.9727933400022
96,신영지웰시티1차,오피스텔,3379,180.96,180oE,0,0,0,37.536827322155126,126.9727933400022
97,신영지웰시티1차,오피스텔,3379,241.34,241oF,0,0,0,37.536827322155126,126.9727933400022
98,신영지웰시티1차,오피스텔,3379,244.04,244oG,0,0,0,37.536827322155126,126.9727933400022
99,그린빌파크,오피스텔,53-19,37.21,37A,0,0,0,37.54569435033189,126.97385808233068
100,그린빌파크,오피스텔,53-19,39.12,39B,0,0,0,37.54569435033189,126.97385808233068
101,그린빌파크,오피스텔,53-19,40.34,40,0,0,0,37.54569435033189,126.97385808233068
102,그린빌파크,오피스텔,53-19,48.6,48,0,0,0,37.54569435033189,126.97385808233068
103,그린빌파크,오피스텔,53-19,52.53,52A,0,0,0,37.54569435033189,126.97385808233068
104,그린빌파크,오피스텔,53-19,55.53,55B,0,0,0,37.54569435033189,126.97385808233068
105,그린빌파크,오피스텔,53-19,58.31,58,0,0,0,37.54569435033189,126.97385808233068
106,그린빌파크,오피스텔,53-19,65.82,65A,0,0,0,37.54569435033189,126.97385808233068
107,그린빌파크,오피스텔,53-19,66.89,66B,0,0,0,37.54569435033189,126.97385808233068
108,그린빌파크,오피스텔,53-19,70.67,70,0,0,0,37.54569435033189,126.97385808233068
109,그린빌파크,오피스텔,53-19,83.56,83,0,0,0,37.54569435033189,126.97385808233068
110,용산큐브스테이트,오피스텔,187,28.13,28A,0,0,0,37.547317219979384,126.96996049767421
111,용산큐브스테이트,오피스텔,187,28.97,28B,0,0,0,37.547317219979384,126.96996049767421
112,용산큐브스테이트,오피스텔,187,28.74,28C,0,0,0,37.547317219979384,126.96996049767421
113,원효,오피스텔,1,42.35,42A,0,0,0,37.537938688256276,126.96523052465864
114,원효,오피스텔,1,43.49,43B,0,0,0,37.537938688256276,126.96523052465864
115,원효,오피스텔,1,85.91,85,0,0,0,37.537938688256276,126.96523052465864
116,원효,오피스텔,1,141.51,141,0,0,0,37.537938688256276,126.96523052465864
117,용산파크자이,오피스텔,50-1,56.5,56S,20220325,1000,88,37.536827322155126,126.9727933400022
118,용산파크자이,오피스텔,50-1,63.2,63D,20220325,1000,100,37.536827322155126,126.9727933400022
119,용산파크자이,오피스텔,50-1,63.74,63E,20220325,1000,100,37.536827322155126,126.9727933400022
120,용산파크자이,오피스텔,50-1,66.44,66N,20220325,1000,100,37.536827322155126,126.9727933400022
121,용산파크자이,오피스텔,50-1,65.3,65M,20220325,1000,100,37.536827322155126,126.9727933400022
122,용산파크자이,오피스텔,50-1,66.71,66G,20220325,1000,100,37.536827322155126,126.9727933400022
123,용산파크자이,오피스텔,50-1,67.86,67U,20220325,1000,100,37.536827322155126,126.9727933400022
124,용산파크자이,오피스텔,50-1,69.08,69V,20220325,1000,100,37.536827322155126,126.9727933400022
125,용산파크자이,오피스텔,50-1,69.72,69W,20220325,1000,100,37.536827322155126,126.9727933400022
126,용산파크자이,오피스텔,50-1,71.74,71L,20220325,1000,100,37.536827322155126,126.9727933400022
127,용산파크자이,오피스텔,50-1,73.98,73C,20220325,1000,113,37.536827322155126,126.9727933400022
128,용산파크자이,오피스텔,50-1,75.65,75F,20220325,1000,113,37.536827322155126,126.9727933400022
129,용산파크자이,오피스텔,50-1,77.49,77A,20220325,1000,115,37.536827322155126,126.9727933400022
130,용산파크자이,오피스텔,50-1,77.19,77X,20220325,1000,115,37.536827322155126,126.9727933400022
131,용산파크자이,오피스텔,50-1,77.93,77H,20220325,1000,120,37.536827322155126,126.9727933400022
132,용산파크자이,오피스텔,50-1,81.27,81Y,20220325,1000,135,37.536827322155126,126.9727933400022
133,용산파크자이,오피스텔,50-1,84.17,84B,20220325,1000,135,37.536827322155126,126.9727933400022
134,용산파크자이,오피스텔,50-1,85.35,85R,20220325,1000,135,37.536827322155126,126.9727933400022
135,용산파크자이,오피스텔,50-1,87.62,87Z,20220325,1000,135,37.536827322155126,126.9727933400022
136,용산파크자이,오피스텔,50-1,95.12,95J,20220325,1000,150,37.536827322155126,126.9727933400022
137,용산파크자이,오피스텔,50-1,94.98,94,20220325,1000,150,37.536827322155126,126.9727933400022
138,용산파크자이,오피스텔,50-1,99.89,99Q,20220325,1500,150,37.536827322155126,126.9727933400022
139,용산파크자이,오피스텔,50-1,100.86,100K,20220325,1500,150,37.536827322155126,126.9727933400022
140,용산파크자이,오피스텔,50-1,103.69,103P,20220325,2000,150,37.536827322155126,126.9727933400022
141,용산파크자이,오피스텔,50-1,104.34,104I,20220325,2000,150,37.536827322155126,126.9727933400022
142,용산파크자이,오피스텔,50-1,104.39,104T,20220325,2000,150,37.536827322155126,126.9727933400022
143,용산파크자이,오피스텔,50-1,104.92,104O,20220325,2000,150,37.536827322155126,126.9727933400022
